Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1026,6/7/2024,6/9/2024,CUST594,Luis Thomas,Consumer,PROD3581,File Folder,Office Supplies,South,Massachusetts,Youngstad,1,2958,0,2958,1782.31,1175.69,Cash,Cancelled,"Jackson, Henson and Holloway",erichard@oconnor-bradford.com,40,No,0
ORD1027,2/2/2025,2/9/2025,CUST970,Joshua Gomez,Home Office,PROD6361,Dining Table,Furniture,West,Oklahoma,Tiffanyhaven,8,2460,0,19680,15412.19,4267.81,Cash,Cancelled,"Alexander, Schmidt and Schmidt",hoffmandarren@patel.net,13,No,0
ORD1028,3/14/2024,3/18/2024,CUST187,Diana Strong,Corporate,PROD7406,Mouse,Electronics,West,Iowa,South Gabriel,6,1947,20,9345.6,8122.87,1222.73,Net Banking,Delivered,Fuller-Valenzuela,jeremycurtis@cameron.com,46,No,0
ORD1029,1/13/2024,1/17/2024,CUST689,Ms. Holly Harper,Consumer,PROD7192,Headphones,Electronics,West,Pennsylvania,Ashleyton,10,3262,5,30989,20603.51,10385.49,Net Banking,Cancelled,"Crawford, Browning and Frazier",maciasjoseph@alexander.com,1,Yes,23
ORD1030,3/2/2025,3/5/2025,CUST181,Leslie Griffin,Corporate,PROD1671,Notebook,Office Supplies,East,Nevada,Matthewside,7,2945,10,18553.5,14828.02,3725.48,UPI,Returned,"Dixon, Brown and Villa",greenemichael@elliott-williams.org,23,No,0
ORD1031,7/23/2025,7/25/2025,CUST773,Steven Peck,Home Office,PROD7020,Study Table,Furniture,North,Alaska,Raymondmouth,2,4354,5,8272.6,7178.55,1094.05,UPI,Returned,Anderson Inc,gabriel70@johnson.biz,41,No,0
ORD1032,11/19/2024,11/20/2024,CUST669,April Jones,Home Office,PROD8012,Notebook,Office Supplies,West,New Mexico,New Heatherview,3,4705,0,14115,12240.5,1874.5,Net Banking,Returned,Nichols-Wright,salazarmark@marquez-le.com,46,No,0
ORD1033,3/16/2024,3/19/2024,CUST365,Donna Price,Home Office,PROD4854,Headphones,Electronics,North,Rhode Island,Michaelborough,10,4805,10,43245,31603.63,11641.37,Credit Card,Returned,"Townsend, Brown and Brown",brianagrant@johnson.com,6,Yes,44
ORD1034,6/17/2025,6/22/2025,CUST447,Brenda Nguyen,Home Office,PROD3063,Keyboard,Electronics,East,New Hampshire,Klinefort,2,4840,15,8228,5885.93,2342.07,Credit Card,Pending,Miller-Collins,judyharris@wilson-hendricks.info,24,No,0
ORD1035,6/13/2024,6/18/2024,CUST747,Andrew Jackson,Consumer,PROD2964,Rice Bag,Grocery,West,Tennessee,Richardstad,6,310,20,1488,951.11,536.89,Credit Card,Returned,Cummings-Johnson,brucehines@washington-king.com,17,No,0
ORD1036,1/24/2024,1/25/2024,CUST375,Benjamin Garcia,Home Office,PROD6706,Snacks,Grocery,East,Iowa,North Robert,3,1054,5,3003.9,1912.61,1091.29,Cash,Returned,Ramirez and Sons,thomaspeters@pratt.com,7,Yes,44
ORD1037,12/26/2023,12/31/2023,CUST147,Bobby Melendez,Consumer,PROD2412,Sofa,Furniture,South,Arkansas,Pennyhaven,5,2073,10,9328.5,6572.04,2756.46,Cash,Cancelled,"Ellis, Turner and Conner",chadmartinez@harris.com,18,No,0
ORD1038,4/21/2024,4/26/2024,CUST358,Wendy Ramos,Corporate,PROD6452,Sofa,Furniture,East,Mississippi,Thomaston,5,1336,10,6012,4047.81,1964.19,Credit Card,Delivered,Lin Group,abarnett@medina.org,10,No,0
ORD1039,4/25/2024,5/2/2024,CUST469,Brandon Pace,Consumer,PROD1270,Pen,Office Supplies,South,Montana,West Andrewchester,2,371,20,593.6,447.3,146.3,UPI,Returned,"Duncan, Blake and Sullivan",kimberly54@gonzalez.com,2,Yes,41
ORD1040,8/19/2024,8/22/2024,CUST497,Randall Webb,Consumer,PROD4056,Juice Pack,Grocery,South,Massachusetts,Lisahaven,3,526,20,1262.4,833.65,428.75,Credit Card,Returned,Thomas-Thomas,sbutler@barajas-mcbride.com,1,Yes,49
ORD1041,1/30/2025,1/31/2025,CUST199,Erica Gibson,Corporate,PROD6749,Office Chair,Furniture,South,Hawaii,Tamarashire,5,330,15,1402.5,1040.41,362.09,Credit Card,Delivered,"Lane, Banks and Smith",moralesjohn@cowan.com,11,No,0
ORD1042,6/2/2025,6/7/2025,CUST583,Nathan Pham,Corporate,PROD8405,Headphones,Electronics,East,Florida,Heatherview,1,3383,10,3044.7,2050.34,994.36,Credit Card,Cancelled,"Johnson, Wolfe and Pittman",lukebennett@johnson.com,41,No,0
ORD1043,4/18/2024,4/24/2024,CUST807,Michael Hansen,Corporate,PROD9966,Rice Bag,Grocery,South,Arkansas,Port Michelebury,3,2347,15,5984.85,4200.01,1784.84,UPI,Delivered,Richards Group,anthonymcintosh@cannon.com,37,No,0
ORD1044,1/18/2024,1/23/2024,CUST932,Amy Snyder,Home Office,PROD8198,Bookshelf,Furniture,East,Arizona,West Vernonchester,6,2135,15,10888.5,6828.26,4060.24,Credit Card,Pending,Rivera Ltd,jeffrey24@lane-king.com,46,No,0
ORD1045,9/22/2025,9/23/2025,CUST648,Maureen Smith,Consumer,PROD8649,Headphones,Electronics,East,Delaware,Wileyshire,6,4933,10,26638.2,22664.83,3973.37,UPI,Cancelled,Hernandez Ltd,tflores@goodwin-mercer.com,14,No,0
ORD1046,4/20/2025,4/23/2025,CUST374,Angela Kelly,Corporate,PROD6392,Juice Pack,Grocery,West,Iowa,New Miguel,9,461,20,3319.2,2319.37,999.83,Net Banking,Delivered,Torres-Gray,ncastro@bernard.com,28,No,0
ORD1047,9/12/2024,9/17/2024,CUST899,Crystal Moore,Home Office,PROD1881,Juice Pack,Grocery,South,New York,Lake Williamshire,5,3746,5,17793.5,14269.87,3523.63,Credit Card,Cancelled,Padilla-Rivera,lisamatthews@andrade.com,49,No,0
ORD1048,11/28/2025,11/30/2025,CUST217,Charles Gibson,Home Office,PROD6860,Laptop,Electronics,South,Virginia,Port Tracy,4,1620,20,5184,4047.85,1136.15,UPI,Pending,"Floyd, Hall and Hernandez",debbielynch@reese.info,16,No,0
ORD1049,6/9/2025,6/16/2025,CUST414,Mark Berg,Consumer,PROD2039,Cooking Oil,Grocery,West,New York,Rebeccastad,7,4833,5,32139.45,24200.45,7939,Credit Card,Returned,Miller-Gregory,kmccarty@dominguez-long.com,31,No,0
ORD1050,2/11/2024,2/15/2024,CUST329,Mary Gill,Corporate,PROD5043,Sofa,Furniture,West,New Mexico,South Ivan,9,934,20,6724.8,5011.07,1713.73,Credit Card,Delivered,Adams-Ferguson,jenkinssarah@booth.net,17,No,0
ORD1051,8/8/2024,8/12/2024,CUST336,Mr. Keith Ramsey,Corporate,PROD5455,Office Chair,Furniture,West,Indiana,Murraymouth,1,3076,15,2614.6,2239.44,375.16,Cash,Delivered,Hayes-Horne,antoniomarquez@malone.biz,8,Yes,20
ORD1052,5/7/2024,5/14/2024,CUST637,Susan Clark,Home Office,PROD1414,Pen,Office Supplies,South,Massachusetts,North Justin,3,4705,0,14115,9372.09,4742.91,UPI,Delivered,Gonzalez LLC,scott69@solis.com,5,Yes,39
ORD1053,9/27/2025,10/1/2025,CUST746,Eric Carey,Consumer,PROD8922,Stapler,Office Supplies,North,Michigan,Walshburgh,3,2261,15,5765.55,3791.63,1973.92,UPI,Cancelled,Fry-Kelly,pacosta@perry.org,34,No,0
ORD1054,5/24/2024,5/28/2024,CUST494,Sarah Bryant,Corporate,PROD5698,Cooking Oil,Grocery,North,Indiana,Gailberg,9,4586,0,41274,28610.5,12663.5,Credit Card,Pending,"Moody, Burns and Patel",holmesjustin@smith.com,17,No,0
ORD1055,10/3/2024,10/9/2024,CUST165,Michael Jimenez,Home Office,PROD9244,Sofa,Furniture,South,Nevada,Mckeehaven,10,4680,5,44460,37478.64,6981.36,Credit Card,Returned,Owens-Medina,brittany25@rhodes-stewart.com,30,No,0
ORD1056,3/22/2024,3/25/2024,CUST119,Kaitlin Weaver,Consumer,PROD7551,Sugar,Grocery,East,California,Gregoryville,2,2798,10,5036.4,3997.52,1038.88,Cash,Pending,Gordon Group,jeffrey66@clayton.net,23,No,0
ORD1057,7/13/2025,7/18/2025,CUST492,Aaron Brady,Consumer,PROD3653,Notebook,Office Supplies,South,Texas,North Anthonyshire,10,790,5,7505,4856.38,2648.62,UPI,Returned,Lane-Gonzalez,zwhite@garrett-christian.com,1,Yes,31
ORD1058,7/9/2025,7/10/2025,CUST707,Randy Neal,Home Office,PROD9012,Mouse,Electronics,West,Alabama,South Taylor,2,1996,5,3792.4,2343.59,1448.81,UPI,Returned,Terry Group,olsonpamela@hernandez-weaver.org,2,Yes,30
ORD1059,9/19/2024,9/22/2024,CUST663,Dr. Darlene Gibson,Home Office,PROD6688,Office Chair,Furniture,North,Oregon,Chadmouth,7,2459,20,13770.4,9587.66,4182.74,Net Banking,Returned,"Chavez, Ellis and Perez",handerson@williams-parker.com,0,Yes,50
ORD1060,12/25/2023,12/27/2023,CUST146,Heather Wade,Home Office,PROD4718,Study Table,Furniture,West,Indiana,Leonardborough,1,3472,20,2777.6,1851.52,926.08,Credit Card,Pending,Wyatt-Jones,freemancarlos@welch.com,23,No,0
ORD1061,4/28/2025,5/3/2025,CUST302,Chad Delacruz,Consumer,PROD9433,Mouse,Electronics,East,Missouri,North Chelseamouth,4,2833,20,9065.6,5505.72,3559.88,Net Banking,Returned,"Cook, Gonzalez and Quinn",omann@ayala.biz,47,No,0
ORD1062,9/8/2024,9/13/2024,CUST183,Matthew Frey,Home Office,PROD9586,Headphones,Electronics,North,Michigan,East Katherinefurt,4,4489,20,14364.8,9314.7,5050.1,Cash,Delivered,"Snyder, Barber and Carrillo",melissabolton@carroll-casey.com,29,No,0
ORD1063,11/24/2025,11/28/2025,CUST802,Terry Cuevas,Corporate,PROD5535,Sugar,Grocery,West,New Jersey,Gonzalezchester,10,3037,10,27333,21985.91,5347.09,Credit Card,Returned,Yoder-Taylor,molly06@bonilla-johnston.info,32,No,0
ORD1064,6/29/2025,7/5/2025,CUST310,Alan Meyer,Consumer,PROD7764,Monitor,Electronics,East,Maryland,Taylorfort,7,3261,10,20544.3,13199.69,7344.61,UPI,Delivered,Rhodes Group,debbiejoseph@norton.com,26,No,0
ORD1065,4/20/2024,4/24/2024,CUST524,Angela Morris,Home Office,PROD3143,Headphones,Electronics,East,Illinois,West Lisafort,6,3772,20,18105.6,12506.03,5599.57,UPI,Delivered,"Lee, Fisher and Nolan",lisa68@greene-smith.com,46,No,0
ORD1066,1/16/2024,1/20/2024,CUST675,Eric Clark,Home Office,PROD9729,Monitor,Electronics,East,Rhode Island,Lake Guy,1,4057,20,3245.6,2092.2,1153.4,Credit Card,Returned,"Young, Kaufman and White",abriggs@martin.org,23,No,0
ORD1067,8/5/2024,8/9/2024,CUST756,Gregory Ferguson,Consumer,PROD5348,Sofa,Furniture,North,Kentucky,Andrealand,10,3414,10,30726,26085.64,4640.36,Cash,Cancelled,Sharp-Frey,nicolemurray@foster-short.com,0,Yes,45
ORD1068,8/31/2024,9/5/2024,CUST228,Shirley Ellis,Home Office,PROD5275,Keyboard,Electronics,West,Mississippi,East Jamieton,4,2198,15,7473.2,5772.19,1701.01,Net Banking,Cancelled,Dominguez-Anthony,nlong@mcdonald-johnson.com,19,No,0
ORD1069,2/23/2025,2/24/2025,CUST412,Heather Carter,Consumer,PROD9857,Monitor,Electronics,South,West Virginia,East Scotttown,7,2425,15,14428.75,12815.38,1613.37,Cash,Pending,"Lynch, Perry and Green",jenniferroach@gibson.org,21,No,0
ORD1070,5/16/2025,5/22/2025,CUST696,Linda Daniels,Home Office,PROD2483,Keyboard,Electronics,West,North Carolina,Douglashaven,3,4470,10,12069,8525.87,3543.13,Cash,Cancelled,"Riddle, Macias and Burton",brittanycastaneda@brooks-hayden.com,37,No,0
ORD1071,5/1/2025,5/4/2025,CUST209,Kenneth Jenkins,Home Office,PROD1908,Sofa,Furniture,West,Maryland,Karenhaven,1,2880,5,2736,2459.89,276.11,UPI,Cancelled,Holmes-Blair,kellybenson@hendricks-rodriguez.com,14,No,0
ORD1072,6/26/2025,6/28/2025,CUST838,Daniel Fields,Corporate,PROD3421,Pen,Office Supplies,South,Maine,Royfurt,9,2371,5,20272.05,15480.54,4791.51,Credit Card,Pending,"Price, Grant and Wilson",yjones@miller-vasquez.info,42,No,0
ORD1073,1/17/2024,1/20/2024,CUST908,Michele Johnson,Home Office,PROD9905,Monitor,Electronics,South,Arkansas,Mendezbury,7,2977,0,20839,15839.95,4999.05,UPI,Pending,Davis-Rose,greensarah@dawson-smith.com,4,Yes,37
ORD1074,6/14/2024,6/16/2024,CUST213,Holly Fitzgerald,Corporate,PROD2942,Dining Table,Furniture,East,New York,Camachotown,2,1281,20,2049.6,1374.6,675,Net Banking,Delivered,Peterson-Williams,wosborn@jordan.net,18,No,0
ORD1075,4/14/2025,4/16/2025,CUST732,Melanie Garcia,Home Office,PROD3658,Rice Bag,Grocery,East,Vermont,Lake Stevenville,4,4932,0,19728,13167.23,6560.77,Cash,Returned,Roman PLC,lindsey91@jordan.com,50,No,0
ORD1076,6/1/2025,6/7/2025,CUST658,Heather Campbell,Home Office,PROD3402,Bookshelf,Furniture,West,New Mexico,Guzmanview,9,1372,5,11730.6,7136.32,4594.28,Cash,Pending,Hill-Barnes,lopezmelissa@mills.com,20,No,0
ORD1077,7/17/2024,7/24/2024,CUST241,Anna Blevins,Home Office,PROD1374,Headphones,Electronics,East,Louisiana,West Steven,4,864,10,3110.4,1929.49,1180.91,Credit Card,Pending,"George, Sanchez and Morgan",thernandez@davenport-yates.biz,29,No,0
ORD1078,12/30/2024,1/3/2025,CUST650,Scott Gregory,Consumer,PROD1254,Headphones,Electronics,South,Louisiana,South Carla,2,1229,15,2089.3,1510.28,579.02,Credit Card,Returned,Boyd-Rodriguez,hhahn@coffey-zavala.com,30,No,0
ORD1079,11/14/2025,11/15/2025,CUST629,Cody Perry,Home Office,PROD5025,Laptop,Electronics,North,Texas,Steelemouth,2,3047,5,5789.3,4295,1494.3,Credit Card,Pending,"Hunt, Martinez and Lam",porterjohn@walker.info,48,No,0
ORD1080,9/15/2025,9/21/2025,CUST112,Michael Simmons,Corporate,PROD9681,Rice Bag,Grocery,East,Louisiana,Franklintown,9,4149,0,37341,28022.89,9318.11,Net Banking,Cancelled,Mcclure Inc,sallyali@wilson.info,24,No,0
ORD1081,4/28/2025,5/1/2025,CUST399,Timothy Camacho,Corporate,PROD5830,Notebook,Office Supplies,North,Oregon,North Stevenstad,3,2567,5,7315.95,4715.8,2600.15,Net Banking,Delivered,Lopez-Peterson,juangillespie@reed.org,24,No,0
ORD1082,9/23/2025,9/30/2025,CUST616,Holly Woods,Home Office,PROD9352,Notebook,Office Supplies,East,Missouri,Rebeccaville,10,4615,5,43842.5,38461.37,5381.13,Credit Card,Returned,"Wise, Sparks and Tran",clarkleah@thomas.com,18,No,0
ORD1083,12/23/2023,12/27/2023,CUST151,Amy Clayton,Consumer,PROD8236,Notebook,Office Supplies,North,Colorado,Tinaside,10,2046,15,17391,13207.27,4183.73,Credit Card,Delivered,"Ramirez, Hansen and Smith",millerdennis@may.info,31,No,0
ORD1084,7/7/2025,7/12/2025,CUST525,Henry Rodriguez,Home Office,PROD2850,Pen,Office Supplies,West,Alaska,Franklinmouth,9,2450,0,22050,18561.46,3488.54,Credit Card,Pending,Robinson Ltd,whitemegan@page.org,27,No,0
ORD1085,4/13/2025,4/17/2025,CUST207,Tammy Price,Home Office,PROD3128,Office Chair,Furniture,East,Missouri,Hortonview,8,4795,5,36442,30346.48,6095.52,Cash,Cancelled,Golden Ltd,amy66@hall.net,12,No,0
ORD1086,9/24/2025,9/30/2025,CUST750,Alejandra Jackson,Consumer,PROD4783,Snacks,Grocery,South,South Carolina,West Jonathanmouth,1,998,15,848.3,644.7,203.6,Credit Card,Cancelled,Moore and Sons,seansanford@hutchinson.info,4,Yes,50
ORD1087,1/24/2025,1/29/2025,CUST726,Jennifer Cooper DDS,Consumer,PROD9764,Dining Table,Furniture,North,Virginia,North Jamesborough,7,989,10,6230.7,4970.28,1260.42,Cash,Delivered,Robinson PLC,kayla69@andrews.com,36,No,0
ORD1088,11/9/2024,11/10/2024,CUST596,Timothy Harrison,Consumer,PROD4276,Notebook,Office Supplies,East,New York,Nathanielton,5,880,10,3960,2622.4,1337.6,Cash,Cancelled,Monroe-Garcia,brianlarson@jenkins-escobar.com,30,No,0
ORD1089,2/15/2025,2/20/2025,CUST536,Jonathan Carr,Corporate,PROD1897,Dining Table,Furniture,West,Nevada,Byrdville,2,3584,20,5734.4,3875.7,1858.7,Credit Card,Delivered,Kelley PLC,murphyglenda@martin.com,37,No,0
ORD1090,10/15/2024,10/22/2024,CUST146,Nicholas Garcia,Consumer,PROD3117,Snacks,Grocery,South,California,New Christopher,7,2372,20,13283.2,10493.01,2790.19,Net Banking,Returned,Wagner PLC,glennlopez@erickson.com,23,No,0
ORD1091,5/16/2024,5/21/2024,CUST590,Jacob Allen,Corporate,PROD2596,Notebook,Office Supplies,East,Connecticut,Rodriguezville,3,2464,15,6283.2,4555.86,1727.34,Net Banking,Delivered,"Gregory, Johns and Harper",davisjody@friedman.org,1,Yes,27
ORD1092,3/30/2025,4/4/2025,CUST509,Bryan Atkins,Consumer,PROD3441,Headphones,Electronics,North,Illinois,Justinchester,3,2448,20,5875.2,4867.6,1007.6,UPI,Pending,Coleman Group,nelsongregory@howell.com,23,No,0
ORD1093,11/8/2024,11/11/2024,CUST715,Stacey Page,Home Office,PROD7762,Cooking Oil,Grocery,South,Wisconsin,East Kathleenberg,1,443,0,443,311.7,131.3,Cash,Delivered,Nelson LLC,daughertyfelicia@morris-singleton.com,40,No,0
ORD1094,9/4/2025,9/10/2025,CUST383,Jennifer Lopez,Consumer,PROD5584,Stapler,Office Supplies,South,Maine,West Jeffreyburgh,5,641,20,2564,2081.84,482.16,UPI,Cancelled,Rivera LLC,westlori@washington-herrera.net,22,No,0
ORD1095,7/23/2024,7/29/2024,CUST716,Joseph Henderson,Corporate,PROD2088,Rice Bag,Grocery,East,Nevada,Tylerview,9,2767,5,23657.85,14437.18,9220.67,Credit Card,Returned,"Davis, Gonzales and Vaughan",llawrence@pratt-nelson.com,22,No,0
ORD1096,7/15/2025,7/20/2025,CUST676,Judy Nichols,Home Office,PROD8301,Study Table,Furniture,North,Alaska,New Kathleen,5,2043,10,9193.5,5568.3,3625.2,Net Banking,Pending,Wallace-Ali,mfernandez@smith.com,1,Yes,33
ORD1097,1/5/2024,1/6/2024,CUST354,Sarah Barrera,Consumer,PROD4046,Monitor,Electronics,South,Wyoming,Port Chris,7,3814,0,26698,23274.2,3423.8,UPI,Returned,Mcdaniel Inc,qgonzales@howell.com,6,Yes,21
ORD1098,10/27/2025,11/3/2025,CUST445,Dr. Diane Oneal,Home Office,PROD6551,File Folder,Office Supplies,South,West Virginia,New Cassiemouth,3,2275,0,6825,5865.76,959.24,Net Banking,Delivered,Sanchez-Berry,rebecca57@ford.biz,15,No,0
ORD1099,4/3/2024,4/9/2024,CUST394,Nancy Riley,Corporate,PROD3253,Stapler,Office Supplies,West,Florida,South Luis,2,3479,20,5566.4,4936.05,630.35,Cash,Pending,"Rose, Aguilar and Gonzales",anneanthony@lee.info,39,No,0
ORD1100,9/11/2024,9/17/2024,CUST993,Michelle Bauer,Home Office,PROD5828,Study Table,Furniture,South,Texas,North Rachelview,2,1132,15,1924.4,1532.29,392.11,UPI,Cancelled,"Armstrong, Mcgrath and Strickland",nelsonlarry@finley-thomas.com,15,No,0
ORD1101,9/28/2025,10/3/2025,CUST247,Kenneth Garza,Corporate,PROD2730,Snacks,Grocery,North,Pennsylvania,Stephenburgh,1,3307,0,3307,2593.8,713.2,Net Banking,Delivered,Hall-Mitchell,jbrown@andrade.biz,31,No,0
ORD1102,9/22/2025,9/27/2025,CUST167,Robert Hart,Corporate,PROD5876,Sugar,Grocery,North,Georgia,South Joelside,9,531,10,4301.1,3032.66,1268.44,Net Banking,Returned,Hernandez-Johnson,lisamartinez@huff.biz,19,No,0
ORD1103,5/20/2025,5/24/2025,CUST553,William Fisher,Home Office,PROD7750,Snacks,Grocery,South,South Carolina,Briannafort,8,1175,5,8930,7408.79,1521.21,Credit Card,Returned,"Summers, Mcintosh and Stewart",hdecker@oconnor.biz,47,No,0
ORD1104,12/19/2024,12/25/2024,CUST484,Trevor Ruiz,Consumer,PROD4623,Pen,Office Supplies,North,North Carolina,Robertchester,8,2877,5,21865.2,15309.29,6555.91,Credit Card,Cancelled,Daniel-Sanchez,kellyanthony@tapia.com,25,No,0
